RNA_Spot_ID,Y,X
976,1007,696
977,1007,810
978,1007,1128
979,1008,670
980,1008,1383
981,1011,577
982,1011,1477
983,1012,738
984,1013,444
985,1013,1266
986,1014,354
987,1014,703
988,1014,863
989,1014,1022
990,1015,789
991,1015,1169
992,1016,1370
993,1015,1552
994,1017,1496
995,1018,903
996,1019,603
997,1019,755
998,1019,1143
999,1019,1251
1000,1023,771
1001,1023,1528
1002,1025,409
1003,1025,1401
1004,1026,640
1005,1026,1586
1006,1027,1503
1007,1028,1345
1008,1030,366
1009,1031,739
1010,1031,760
1011,1031,1213
1012,1032,723
1013,1033,375
1014,1033,525
1015,1033,680
1016,1033,961
1017,1033,1038
1018,1034,822
1019,1034,1223
1020,1035,655
1021,1035,1416
1022,1036,1148
1023,1036,1234
1024,1036,1520
1025,1037,397
1026,1037,951
1027,1038,346
1028,1038,499
1029,1038,1052
1030,1038,1397
1031,1039,832
1032,1039,897
1033,1039,1073
1034,1039,1319
1035,1042,418
1036,1043,443
1037,1043,1173
1038,1045,853
1039,1045,1376
1040,1047,534
1041,1047,1139
1042,1048,378
1043,1048,482
1044,1048,654
1045,1050,872
1046,1051,394
1047,1051,1129
1048,1051,1416
1049,1051,1437
1050,1052,462
1051,1052,669
1052,1052,827
1053,1052,1080
1054,1053,1511
1055,1055,765
1056,1056,1158
1057,1056,1295
1058,1056,1402
1059,1058,427
1060,1058,697
1061,1058,848
1062,1058,1372
1063,1059,1034
1064,1059,1315
1065,1059,1497
1066,1060,572
1067,1060,861
1068,1060,1102
1069,1061,676
1070,1061,1024
1071,1061,1261
1072,1062,1352
1073,1064,594
1074,1064,1485
1075,1065,631
1076,1066,664
1077,1066,1168
1078,1067,1431
1079,1068,778
1080,1068,1366
1081,1069,1124
1082,1069,1419
1083,1070,844
1084,1070,1296
1085,1071,728
1086,1072,420
1087,1072,1452
1088,1073,884
1089,1074,376
1090,1074,1007
1091,1074,1508
1092,1075,694
1093,1075,1072
1094,1075,1392
1095,1077,569
1096,1078,1030
1097,1079,1114
1098,1080,626
1099,1081,750
1100,1081,1267
1101,1081,1315
1102,1082,1252
1103,1083,395
1104,1083,1490
1105,1084,645
1106,1084,1451
1107,1085,456
1108,1085,684
1109,1085,990
1110,1085,1060
1111,1085,1216
1112,1086,614
1113,1087,584
1114,1087,780
1115,1087,1237
1116,1088,850
1117,1093,436
1118,1094,1289
1119,1094,1485
1120,1095,372
1121,1095,598
1122,1095,1108
1123,1097,1314
1124,1097,1370
1125,1097,1404
1126,1099,676
1127,1100,584
1128,1100,1327
1129,1100,1357
1130,1100,1677
1131,1101,618
1132,1104,1252
1133,1104,1566
1134,1105,1220
1135,1107,1759
1136,1109,633
1137,1110,1693
1138,1111,1314
1139,1112,1471
1140,1112,1574
1141,1113,688
1142,1113,1265
1143,1114,374
1144,1114,460
1145,1114,1243
1146,1114,1456
1147,1115,597
1148,1116,710
1149,1118,1610
1150,1119,752
1151,1119,1226
1152,1120,1424
1153,1121,1280
1154,1121,1731
1155,1122,1312
1156,1122,1444
1157,1123,366
1158,1123,642
1159,1124,1586
1160,1125,452
1161,1126,1409
1162,1126,1626
1163,1127,1495
